iter	RMSE
0	1.561859055
1	1.452153349
2	1.362004429
3	1.286561726
4	1.226039294
5	1.176841662
6	1.138845156
7	1.098354789
8	1.063885665
9	1.029873208
10	1.005976985
11	0.9777671867
12	0.9523129838
13	0.9318864769
14	0.9097694594
15	0.890568823
16	0.8742786855
17	0.8604974463
18	0.8476465034
19	0.8369744028
20	0.8212428294
21	0.8079494245
22	0.7990199245
23	0.785083802
24	0.7767682524
25	0.7679318314
26	0.7612671007
27	0.7534281497
28	0.7441305551
29	0.7386618177
30	0.7303640402
31	0.7225214966
32	0.7149255612
33	0.7071516355
34	0.700394074
35	0.6939113478
36	0.6893776909
37	0.6829093788
38	0.6760080741
39	0.6702457803
40	0.6662432111
41	0.662709717
42	0.6583068326
43	0.6527142878
44	0.6469217989
45	0.6426662243
46	0.6391064601
47	0.6357163186
48	0.6311169218
49	0.62735234
50	0.6243754386
51	0.621230598
52	0.617193774
53	0.6147365727
54	0.6128507549
55	0.6091141054
56	0.6056207307
57	0.6023567247
58	0.5998523527
59	0.5973071014
60	0.5950447045
61	0.5926055076
62	0.5903876814
63	0.5879522401
64	0.5859592064
65	0.5840041475
66	0.5817046194
67	0.5802117399
68	0.5789002263
69	0.5773726412
70	0.5748580847
71	0.5730996816
72	0.5709302919
73	0.5692460777
74	0.5678495359
75	0.5656106609
76	0.5635624059
77	0.562065004
78	0.5604528371
79	0.5585270983
80	0.5566007617
81	0.5553718924
82	0.5539339048
83	0.5524067818
84	0.5503486789
85	0.5485515199
86	0.5468378879
87	0.5454407253
88	0.5444384953
89	0.5431332075
90	0.5415103941
91	0.540292062
92	0.5380589298
93	0.5367040302
94	0.535407003
95	0.5339629946
96	0.5326471135
97	0.5312236128
98	0.5302192174
99	0.5289177349
100	0.5273628929
101	0.526277417
102	0.5247683916
103	0.5237818183
104	0.5226493821
105	0.5217459417
106	0.5205149763
107	0.5195031263
108	0.5183846949
109	0.5169951535
110	0.5156131336
111	0.5139879438
112	0.5126544952
113	0.5119720102
114	0.5110008679
115	0.5098806087
116	0.5088701132
117	0.5078049953
118	0.506939168
119	0.5060064511
120	0.5050300417
121	0.504355942
122	0.5032287925
123	0.5022528777
124	0.5013511622
125	0.5004274483
126	0.4995837626
127	0.4986830414
128	0.4976243182
129	0.4965237987
130	0.4958718182
131	0.4949337321
132	0.4941011187
133	0.4935301379
134	0.4928640783
135	0.4921825683
136	0.4909517301
137	0.4902211096
138	0.4895625722
139	0.4885251973
140	0.4878663727
141	0.4871245438
142	0.4861873041
143	0.4854498717
144	0.4847566408
145	0.4840036564
146	0.483146658
147	0.4823336841
148	0.4816676458
149	0.4807522195
150	0.4800679255
151	0.4793880583
152	0.4788206818
153	0.4779266122
154	0.477396998
155	0.4767580409
156	0.4760339049
157	0.4753378677
158	0.4745084721
159	0.4736337309
160	0.472926078
161	0.4724452039
162	0.4717266231
