iter	Passed	Remaining
0	15	12590
1	30	12096
2	44	11944
3	58	11638
4	73	11631
5	87	11547
6	102	11622
7	119	11859
8	135	11908
9	150	11886
10	164	11829
11	181	11933
12	196	11924
13	212	11903
14	226	11877
15	243	11907
16	257	11843
17	271	11811
18	286	11777
19	302	11782
20	317	11785
21	333	11780
22	348	11767
23	362	11723
24	376	11671
25	390	11617
26	405	11612
27	419	11578
28	434	11541
29	449	11549
30	465	11547
31	480	11534
32	496	11547
33	511	11530
34	526	11504
35	541	11493
36	555	11461
37	569	11425
38	584	11410
39	600	11418
40	616	11411
41	631	11401
42	647	11402
43	663	11402
44	678	11382
45	693	11364
46	709	11373
47	724	11351
48	740	11342
49	754	11324
50	771	11333
51	787	11323
52	802	11313
53	817	11293
54	833	11293
55	851	11315
56	871	11356
57	885	11333
58	901	11322
59	915	11289
60	930	11272
61	944	11244
62	961	11244
63	975	11222
64	990	11201
65	1006	11188
66	1020	11167
67	1035	11144
68	1049	11119
69	1063	11090
70	1078	11074
71	1093	11058
72	1108	11039
73	1123	11020
74	1139	11012
75	1154	10993
76	1168	10967
77	1183	10951
78	1197	10931
79	1213	10919
80	1227	10896
81	1243	10892
82	1258	10871
83	1273	10853
84	1287	10834
85	1302	10813
86	1318	10802
87	1333	10788
88	1348	10772
89	1363	10753
90	1379	10749
91	1395	10735
92	1409	10713
93	1424	10700
94	1440	10689
95	1455	10671
96	1470	10658
97	1485	10637
98	1503	10646
99	1522	10655
100	1539	10655
101	1558	10667
102	1577	10673
103	1595	10675
104	1611	10669
105	1627	10655
106	1644	10648
107	1661	10643
108	1677	10633
109	1693	10623
110	1709	10611
111	1726	10604
112	1742	10595
113	1759	10590
114	1776	10579
115	1791	10563
116	1806	10546
117	1821	10526
118	1836	10510
119	1854	10507
120	1870	10494
121	1887	10488
122	1904	10481
123	1921	10476
124	1940	10476
125	1956	10467
126	1972	10454
127	1989	10443
128	2006	10434
129	2024	10436
130	2042	10428
131	2058	10416
132	2074	10406
133	2090	10390
134	2107	10379
135	2123	10367
136	2142	10366
137	2158	10353
138	2174	10339
139	2190	10325
140	2205	10306
141	2223	10301
142	2239	10287
143	2253	10267
144	2269	10250
145	2285	10235
146	2300	10221
147	2317	10209
148	2332	10189
149	2347	10172
150	2363	10158
151	2380	10147
152	2396	10135
153	2412	10121
154	2429	10111
155	2446	10100
156	2463	10088
157	2477	10068
158	2493	10051
159	2509	10037
160	2524	10020
161	2541	10007
162	2555	9988
163	2571	9973
164	2587	9957
165	2603	9944
166	2620	9931
167	2636	9919
168	2652	9903
169	2666	9882
170	2682	9865
171	2698	9851
172	2713	9835
173	2729	9819
174	2746	9808
175	2763	9796
176	2780	9785
177	2795	9768
178	2812	9756
179	2828	9741
180	2844	9728
181	2860	9711
182	2877	9700
183	2893	9687
184	2911	9677
185	2925	9658
186	2943	9648
187	2961	9642
188	2979	9631
189	2994	9615
190	3013	9608
191	3029	9592
192	3045	9579
193	3061	9563
194	3078	9549
195	3093	9532
196	3109	9517
197	3124	9498
198	3139	9480
199	3154	9462
200	3170	9447
201	3184	9427
202	3199	9407
203	3214	9391
204	3230	9375
205	3244	9356
206	3261	9341
207	3276	9324
208	3292	9308
209	3308	9296
210	3324	9279
211	3339	9261
212	3355	9246
213	3370	9228
214	3387	9215
215	3402	9200
216	3416	9179
217	3432	9164
218	3448	9148
219	3465	9135
220	3480	9118
221	3496	9102
222	3511	9086
223	3526	9068
224	3543	9054
225	3559	9039
226	3573	9021
227	3588	9002
228	3603	8985
229	3618	8967
230	3633	8950
231	3649	8934
232	3664	8918
233	3679	8900
234	3693	8880
235	3708	8862
236	3723	8845
237	3738	8828
238	3753	8810
239	3768	8793
240	3782	8773
241	3797	8755
242	3811	8737
243	3825	8716
244	3840	8701
245	3856	8684
246	3870	8666
247	3885	8648
248	3900	8630
249	3916	8615
250	3931	8599
251	3947	8583
252	3962	8566
253	3978	8552
254	3993	8535
255	4008	8517
256	4023	8500
257	4039	8485
258	4053	8467
259	4070	8453
260	4085	8436
261	4099	8419
262	4115	8403
263	4130	8385
264	4145	8369
265	4160	8352
266	4174	8333
267	4188	8315
268	4204	8299
269	4219	8283
270	4235	8267
271	4250	8250
272	4265	8233
273	4279	8215
274	4296	8202
275	4312	8188
276	4328	8172
277	4344	8157
278	4361	8145
279	4380	8135
280	4399	8126
281	4415	8110
282	4430	8093
283	4445	8077
284	4461	8061
285	4476	8046
286	4494	8033
287	4509	8017
288	4526	8002
289	4542	7989
290	4558	7974
291	4573	7957
292	4589	7942
293	4606	7928
294	4620	7910
295	4636	7895
296	4652	7879
297	4667	7862
298	4683	7847
299	4703	7838
300	4717	7820
301	4733	7805
302	4749	7790
303	4765	7775
304	4780	7759
305	4796	7742
306	4811	7727
307	4827	7711
308	4844	7698
309	4860	7682
310	4876	7667
311	4892	7652
312	4909	7639
313	4925	7623
314	4942	7610
315	4958	7595
316	4974	7580
317	4990	7563
318	5006	7549
319	5023	7534
320	5040	7521
321	5055	7504
322	5072	7490
323	5087	7473
324	5103	7458
325	5119	7443
326	5134	7426
327	5150	7411
328	5166	7396
329	5182	7381
330	5197	7364
331	5213	7349
332	5229	7333
333	5243	7315
334	5259	7300
335	5276	7287
336	5292	7271
337	5311	7260
338	5327	7245
339	5342	7228
340	5356	7210
341	5372	7195
342	5387	7178
343	5403	7163
344	5418	7146
345	5434	7131
346	5450	7115
347	5465	7098
348	5479	7081
349	5494	7064
350	5510	7048
351	5525	7032
352	5542	7018
353	5555	6999
354	5569	6981
355	5586	6967
356	5600	6950
357	5615	6933
358	5630	6916
359	5644	6898
360	5658	6881
361	5673	6864
362	5689	6849
363	5706	6834
364	5720	6817
365	5735	6800
366	5752	6787
367	5768	6771
368	5783	6755
369	5799	6740
370	5815	6724
371	5830	6708
372	5846	6693
373	5862	6677
374	5878	6661
375	5892	6645
376	5908	6629
377	5924	6614
378	5940	6598
379	5957	6584
380	5975	6571
381	5991	6555
382	6007	6541
383	6023	6525
384	6040	6511
385	6056	6496
386	6074	6482
387	6089	6466
388	6105	6451
389	6143	6458
390	6162	6446
391	6179	6432
392	6196	6417
393	6212	6401
394	6227	6385
395	6242	6368
396	6258	6352
397	6273	6336
398	6289	6321
399	6306	6306
400	6323	6291
401	6339	6276
402	6355	6261
403	6373	6247
404	6389	6232
405	6406	6217
406	6423	6202
407	6439	6187
408	6455	6171
409	6470	6154
410	6485	6138
411	6501	6123
412	6517	6107
413	6533	6091
414	6548	6075
415	6564	6059
416	6580	6043
417	6596	6028
418	6613	6013
419	6628	5997
420	6648	5984
421	6670	5975
422	6686	5959
423	6704	5945
424	6723	5932
425	6742	5919
426	6757	5902
427	6772	5886
428	6789	5871
429	6808	5858
430	6823	5842
431	6840	5827
432	6855	5810
433	6870	5794
434	6886	5778
435	6902	5762
436	6918	5746
437	6934	5731
438	6950	5715
439	6966	5699
440	6981	5683
