,Unnamed: 0,date,Temperature (C),wind_dir,wind_speed,Humidity,Visibility,Precipitation,pressure1,sunshine_time,suntime,new_cases,holidays2,night_time,weekday,weekend_dummy
0,0,2020-09-01 00:00:00,13.9,N,3.7,76.0,20.0,0.0,1020.4,21960.0,48255.0,5104.0,0,1,1,0
1,1,2020-09-01 01:00:00,13.6,NNO,1.9,77.0,20.0,0.0,1020.1,21960.0,48255.0,5104.0,0,1,1,0
2,2,2020-09-01 02:00:00,13.0,ONO,1.9,79.0,20.0,0.0,1019.9,21960.0,48255.0,5104.0,0,1,1,0
3,3,2020-09-01 03:00:00,12.9,NO,1.9,81.0,20.0,0.0,1019.8,21960.0,48255.0,5104.0,0,1,1,0
4,4,2020-09-01 04:00:00,12.4,ONO,3.7,83.0,20.0,0.0,1019.5,21960.0,48255.0,5104.0,0,1,1,0
5,5,2020-09-01 05:00:00,12.2,NNO,3.7,84.0,20.0,0.0,1019.7,21960.0,48255.0,5104.0,0,1,1,0
6,6,2020-09-01 06:00:00,12.1,N,3.7,87.0,20.0,0.0,1019.9,21960.0,48255.0,5104.0,0,1,1,0
7,7,2020-09-01 07:00:00,13.7,N,1.9,80.0,20.0,0.0,1019.9,21960.0,48255.0,5104.0,0,1,1,0
8,8,2020-09-01 08:00:00,15.5,N,3.7,71.0,20.0,0.0,1019.7,21960.0,48255.0,5104.0,0,0,1,0
9,9,2020-09-01 09:00:00,17.7,N,5.6,65.0,20.0,0.0,1019.7,21960.0,48255.0,5104.0,0,0,1,0
10,10,2020-09-01 10:00:00,19.1,NNE,5.6,57.0,19.0,0.0,1019.4,21960.0,48255.0,5104.0,0,0,1,0
11,11,2020-09-01 11:00:00,18.3,N,5.6,60.0,20.0,0.0,1018.9,21960.0,48255.0,5104.0,0,0,1,0
12,12,2020-09-01 12:00:00,18.6,N,3.7,45.0,20.0,0.0,1018.6,21960.0,48255.0,5104.0,0,0,1,0
13,13,2020-09-01 13:00:00,19.8,ENE,5.6,43.0,20.0,0.0,1018.3,21960.0,48255.0,5104.0,0,0,1,0
14,14,2020-09-01 14:00:00,21.9,ENE,3.7,39.0,20.0,0.0,1017.5,21960.0,48255.0,5104.0,0,0,1,0
15,15,2020-09-01 15:00:00,19.8,NNE,7.4,46.0,20.0,0.0,1017.5,21960.0,48255.0,5104.0,0,0,1,0
16,16,2020-09-01 16:00:00,19.8,NE,5.6,48.0,20.0,0.0,1017.5,21960.0,48255.0,5104.0,0,0,1,0
17,17,2020-09-01 17:00:00,19.8,N,5.6,48.0,20.0,0.0,1017.6,21960.0,48255.0,5104.0,0,0,1,0
18,18,2020-09-01 18:00:00,18.9,NE,5.6,46.0,20.0,0.0,1017.6,21960.0,48255.0,5104.0,0,0,1,0
19,19,2020-09-01 19:00:00,18.5,NNE,5.6,46.0,20.0,0.0,1017.9,21960.0,48255.0,5104.0,0,0,1,0
20,20,2020-09-01 20:00:00,17.1,NNE,7.4,49.0,20.0,0.0,1018.5,21960.0,48255.0,5104.0,0,1,1,0
21,21,2020-09-01 21:00:00,16.4,NE,7.4,52.0,20.0,0.0,1018.9,21960.0,48255.0,5104.0,0,1,1,0
22,22,2020-09-01 22:00:00,15.2,NNE,5.6,59.0,20.0,0.0,1019.0,21960.0,48255.0,5104.0,0,1,1,0
23,23,2020-09-01 23:00:00,14.9,NNE,5.6,63.0,20.0,0.0,1019.1,21960.0,48255.0,5104.0,0,1,1,0
24,24,2020-09-02 00:00:00,14.6,NNE,5.6,65.0,20.0,0.0,1019.3,34200.0,48047.0,7038.0,0,1,2,0
25,25,2020-09-02 01:00:00,14.1,NNE,5.6,68.0,20.0,0.0,1019.2,34200.0,48047.0,7038.0,0,1,2,0
26,26,2020-09-02 02:00:00,13.4,NNE,5.6,71.0,20.0,0.0,1019.2,34200.0,48047.0,7038.0,0,1,2,0
27,27,2020-09-02 03:00:00,12.7,NE,5.6,75.0,20.0,0.0,1019.0,34200.0,48047.0,7038.0,0,1,2,0
